intent,utterance
sarcastic,Just took off my doctorate in Economics and my 2 yr old daughter just came out to me as a lesbian today!!!!!!!!!!!!!!!!!!!!!!
sarcastic,we still have space in space shuttles for the ones who’ve missed out on them so they can’ve “t ruin their careers.!!!!!!!!!!!!
sarcastic,me and @ScottShawESPN are still racking our brains over the best goals in the history of the Premier League. 🤙 #EPL https://t.co/WwXG7XwIM
sarcastic,“All you have to do is ask “another person“ why“ they’re into “the thing“ and” it’s a wash.”!!!!
sarcastic,Anyone else know of a supermarket that sells bags of chicken. My Mum has one in her house :(!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i love getting a tattoo!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"what’s this you’re doing, pls don’t embarrass yourself, pls don’t embarrass urself and i’ll be the first one to apologize to ur parents in the"
sarcastic,Thank you @thepeopleoverlord for inspiring me to become an academic. I look forward to being a professor all day long. 🎉!!!!!!!!!!!!!!!!
sarcastic,I love how the ciampos are decorating the new bc bank restaurant!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,how was i able to watch @TeamVerseOfficial @HateMensLeague cup final on mainslack today with my boyfriend for the first time!!😍😍😍😍😍!!
sarcastic,thank you @RealAlexJones! 🚨 https://t.co/V0SVQEQxRFO https://t.co/HpUKFbYgOk0 #NFL https://
sarcastic,Managing a team through 3rd party delivery in the wild can be so stressful!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Surely it's not the food that has me so bored 🤮!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@Harry_Styles3 Yeah I said I was good at this but I'm pretty bad at some things 👍🏾 @HarryStyles3 I love it when he actually likes me because of the relationship but
sarcastic,Life is so much better when you don't have a job!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Huge ass titties. Love seeing Taylor luvs!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Shout-out to the Twitter boycott for letting go of hypocrisy. A whole lot easier just asking for a seat. #taylorswim https://t.co/X3R2pIdd8
sarcastic,If someone were to invite me over to watch a sports match I would absolutely hate it. Please don’t do that!!!!!!!!!!!!!!!!!!!!
sarcastic,@BlahOmar1 I’m a little late to the #TallinnIkstuvr #Day2 #Brisbals #EuropeanTallinn #Day2 #Day2
sarcastic,Just sang the pep talk at 4:05 am. #britishfootball #football #football #football #indianfootball #japan #football @footballpamparoni #football #tampabay
sarcastic,"Just wanna state that I'm extremely disappointed in the Henson catalog and the Netflix guys. Honestly, I just wish I could watch all of these really good parents!!!!!!!!!!!!!"
sarcastic,Great time to watch the sun rise 💙 👍🏼 #spyro https://t.co/fE4Zo4tQm9t https://t.co/X5s
sarcastic,We had our cake and ate it too 👌🏻🤘 https://t.co/Jg7cH2ZiXhD — lizzy biermann (@lizzybermann)
sarcastic,Can't wait until Christmas when I'll go through the motions and decorate my room like I'm Santa!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i love posting pictures of my cat on instagram!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,The size difference between me and my friend is at least as big as the size difference between me and #Shakira!!!!!!!!!!!!!!!!!!!!!
sarcastic,Love it when the “Goes to War!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I wish I could just go back in time and forgive some of the things I've done!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Just laid into my stomach so bad!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i love how they explain the link between ice cream and heartaches on tic tac to the point where the other kids explain it too!!!!!!!!!!!!!!!!!!
sarcastic,"Thank you to @R2Sports for inviting me to show them the ropes. @RFLCltWon #Euros https://t.co/N2UyyH8u1L""!!!"
sarcastic,my first thought after waking up was how cute that dora is.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"we’re talking about you David Tennant & his band """"cause, you know, """"suicide is pretty cool""""!!!!!!!!!!!!!!!!!!!"
sarcastic,"God, you’re making me crazy!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,My morning routine is watching lululemon t-shirts on sale when i hear the sirens going off. If it weren't for my alarm clock constantly ringing I wouldn’t know that this school is closed until
sarcastic,@chriscravens I think a lot of guys on twitter are taking it upon themselves to shit on Taylor Lautner. #funkadelic https://t.co/yNjhVU
sarcastic,"thinking of crossing the road and tackling someone on the pavement until they die 😂💀 @bbcnews A photo posted by Hiawatha Race (@haproxy) on Mar 18, 2017 at 3:32"
sarcastic,"every time i get a text from someone asking me what im up to, i say whatever text app i have the latest on.!!!!!!!!!!!!!!!!!!!"
sarcastic,"it's always fun seeing a rapper cry on the cover of a sports book i like all things sports my favs: John R. Taylor, James D. Grant Jr, Tim & John!!!!!!!"
sarcastic,I almost forgot to check out the new anime HIROSHI BEATRICE and HIROSHI BEATRICE 2 as I'm on a research course 😉!!!!!!!!!
sarcastic,Every single time I hear “All I got was “a chicken sandwich” #GRIPS https://t.co/yoVc7FC0CbG https://t.co/xX
sarcastic,trying to put my head in a blender... it's really hard!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Just watched David Tennant get beheaded with a beheading stick. https://t.co/MwX2NqcYZgf https://t.co/EQwWj1Eb
sarcastic,@ChrisGatsby1 You’re one desperate person. What’s the difference between an 8:00 AM alarm going off and your cat chowing down on the couch when the alarm goes off? That
sarcastic,I can’t wait to meet Benidorm's new MC! #mallcalls #Benidorm #benidorm A photo posted by Jayden Brooks (@jaysedenn00) on Mar 18
sarcastic,Man I miss hairdresser 😭😭😭😭😭😭!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i love how close my mom is to me!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Just made my third pizza and it was incredible! Thanks to everyone that sent me love and good vibes!💕!!!!!!!!!!!!!!!!!!!!
sarcastic,we will talk about this for hours. ❤️!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@TheRealScottEdwards @EyesOnLeicester @MCFC You guys have got to watch this game. You are the best!!!!!!!!!!!!!!!!!
sarcastic,@McDonaldsUK @MollyInkwell So do you use the toilet paper roll dispenser? https://t.co/FHXC7FmOIWgw — Josh Cullough (@
sarcastic,every time i see @shannonhayden watching @frederickcoppola it makes me sad!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Happy Valentine's Day to all the true love givers out there!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,everytime I see two girls go at it in tandem I wanna get in the ring!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@TucsonStar_Hurricane_Hurricane #tsa #SunsetOverNestCody #Football I can’t wait til I get my own #JetsRoster!!!!!
sarcastic,Me and my bf just shared a bed 💖 and you know what that meant 💔! 😀😀😀!!!!!!!!!!!!!!!!!
sarcastic,"@NRA @DanSherriff @SarahWarrington If the people actually stood up and said ""we don’t support"" those who vote to ban assault rifles and other high capacity ammunition magazines we might actually be"
sarcastic,Did anyone else accidentally crash into a bug while playing Red Dead Redemption? https://t.co/EmgX4nChViw Please donate to help protect these beautiful insects. https://t.co/3Z
sarcastic,"only time I write this in a completely unbiased way is when an 11 year old girl says “I want to kiss my step dad“""!!!!!!!!!!!!!!!"
sarcastic,my friends i’ve just met are into cats!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"i’m in school, so i’m not supposed to be seeing my professors 😅!!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,love love it when people mess up ur grammar so they can embarrass themselves at math!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@BBCTutu1 @Gmail how has Tutu progressed since it was introduced back in #Brisbane last year?!!!!!!!!!!!!!!!!!!!
sarcastic,Excited to announce I've signed up for a research visa!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"@sarcastic_friday @Habibatestudio @AlexQueimadelcala @CityLifeHR @CityLifeHR Not only am I not fat, I also read extremely well https://"
sarcastic,Does anyone want to explain why so many boys wear short pants at school?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,All the girls at work have different haircuts! #GMA Girls!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,sometimes my phone goes off and i look at it and realize i forgot some important thing is important. so i pick it back up again and it's closed 😭!!!!!!!!!!!!
sarcastic,It’s too early to have an opinion on how Hsu will perform but I would still love to see him win the Cy Young and complete a Vezina!!!!!!!!!!!
sarcastic,@AnstahAbdul-Rahman @Trevor_Thomas7891 @marian_kahlman @RSSdotNet Thank you Christian for all your hard work. For all your friends who
sarcastic,sometimes i send a text and my phone goes quiet for 1 minute and i just re-typing the pastemnid!!!!!!!!!!!!!!!!!!!!
sarcastic,So I’ve made it this far in my last 3 weeks of school but still have so much more to learn!!!!!!!!!!!!!!!!!!!!!
sarcastic,i love when i see a fish on the beach and turn around i see a 👀🏾‍!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@michaellawrencejr @HomeOffice I don’t need a PhD in networking to understand the @BBC i understand people. Sad though it’s that much more “we’re all
sarcastic,The most overused word in history.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,my love letter to you all is also my official omeglehatred. https://t.co/AzCEiWGcVMO #Officialomglamour https://t.co/WY2
sarcastic,"The last time I saw my mom let out a long, rambling, rambling cry as her dog ripped into all five fingers on the back of my hand. Imagine if your phone and a video game can have this same"
sarcastic,I'm not taking credit for my dad's retirement!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Happy New Year to all yall!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I think that's enough rambling! Hope this inspires people to get involved and give their opinion!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,So good to have a great conversation with a member of our sister site’s paper. 🤙!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Slovenian girls don’t look at the wrong guys’t’t.!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,its possible I could've finished college with just 3 years of high school.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,My greatest fear is a Trump Presidency.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,#FutbolTalk it’s a positive!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Day 3 of the RTA strike strike was when I’m really feeling out of sorts. 🚨🚨🚨🚨 https://t.co/6EJgG4c
sarcastic,"I always feel like the more I dig into my emails the more I realize what I've been through 👍✨💀""!!!!!!!!!!!!!!!!!"
sarcastic,"all i wanted was to see #EmmaSophiaWesley walk again 👍💨😍""!!!!!!!!!!!!!!!!!!!!!"
sarcastic,@RUSIAHARTIN So are you back as a presenter for the first time? I wish I could count the number of times I've thrown myself in front of a bus and hit the gas as a result!
sarcastic,@joekesnicks13 @luiseddmc @bbcqt We can't let you ruin our memories!!!!!!!!!!!!!!!!!!!!
sarcastic,Well done @Toonami for turning its #Tokyo block into a Western and then a South Korean one!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I’m so thankful for my uni!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,my friends’s mums are encouraging u to burn the midnight oil by cooking ur fav chili for the first time!!!!!!!!!!!!!!!!!!!!!
sarcastic,@jackjonesontown @NoShameCast I've done enough journalism to know that sometimes the media will go too far when they write a hit drama. 😍😍😍😍!!!!
sarcastic,I’ve been a terrible person ever since I was 18 years old 👏🏻 https://t.co/gXHsmHsPjD5 — David Tennant 🌹 (@The
sarcastic,Dumplings are no joke 👹💀😀!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Narcissists and the culture around them are a huge waste of time. 😳😶!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,PRAYER IS REAL!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,did they not just say that anyone found wearing a hoodie is a terrorist?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Is anyone in the United States buying the Godzilla films?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Someone on twitter called me out on how often my car alarm goes off while I'm asleep!?!?!?!?!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,The first time I’ve seen a chicken urinate on its own body is the saddest thing.!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Happy birthday man! #apple #applemegadamp CERN gave me these amazing plates! #geektoy https://t.co/jNUh0wd2WcY 🔤 #apple
sarcastic,I love shopping at Target. It reminds me that life is so much better if you don't live in it!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Love getting emails while I'm on vacation!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Gonna have to stop eating butter if I ever want butter to be like home decor!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,That’s’s it for tomorrow I imagine! That’s the last exam I'll do tonight 😭!!!!!!!!!!!!!!!!!!!
sarcastic,There's no way this guy's brain cells are actually in his feet.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i forgot to shave my legs!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"@GardaMurphy0821 @PIEOfficial @taylornation @TheBestOfTheBest @Gardaí @MartyO “Yeah @Shaun_Watford Yeah,"
sarcastic,It’s been 7 years since I left the ER. I'm glad I’m still here!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I’m overusing the word “I’m done with this life!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I swear when someone on tumblr asks me about girls I have a crush on I say yes’s!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i never’ve been so glad to be out of high school!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,We only have to walk out of Starbucks 30 minutes later to see how badly things have changed!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Yes I am sarcastic but love you baby you have the potential to be a star in the making and im so excited for you 💀 https://t.co/fJq3wLXSIsj https
sarcastic,thank you to all my nana and my nazim!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I’ve met a few girls that have been around forever and are still just as cute! 🤘!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Just heard the other day that Siri can read your mind and can tell when you've been ppl talking to it!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@VicEmmaMadsen @VicEmmaMadsen @VicEmmaMadsen @VicEmmaMadsen @VicEmmaMadsen how u gonna explain to
sarcastic,@Sia_Emma @PennyStrong1366 And @ryanjevansUK It makes me happy when I know the number one Twitter celebrity is a young girl singing 💀!!!!!
sarcastic,I am in love with a black man!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"I love hearing my new favorite song, ""Nothing Bets Me Right""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,HOT TAKE: the thought of my phone buzzing when it’s not in use is too much to cope with 🤮🤯🤯🤯🤯 https://t.co
sarcastic,thinking about that day in high school when my anxiety hit the highest of crescendos and i literally ran straight to the class to ask a question. I asked the question: how does snow go up in the fall?
sarcastic,did you know that the amount of time that it takes to grow a mustache can actually affect your mental health??!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"Who's that dude with the green nose looking at me with the amount of poison in his eye?""!!!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,@MTSUFootball how do u feel now that u lost taylors half in the bama bengal state biapp 💚!!!!!!!!!!!!!
sarcastic,I love how white people actually think we evolved from apes!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i love how much mail i get in korea every day 🤘!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,hey its @dragonspurs #gta5 i have to hurry though i have to pester the leader of the masons with the latest release of gta5 before i can apply for a license if i want
sarcastic,"fancy a coffee ☜️""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,Wow this place is just absolutely incredible to me. I cannot wait to see all the people here!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"Sometimes I wonder if that whole weekend was for naught. 😎""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,Every once in awhile you will meet someone who seems soooo brilliant and just plain captivating. I have always wanted to be around that person!!!!!!!!!!!!!!!!!
sarcastic,people always ask me how I train. This year I will actually just let them do this!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Gonna invite my coworkers over for brunch 😭!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"Anyone else have a mental breakdown after hearing Rob Lowe break down the Drake song ""Hotline Bling""? #CanONookItUs https://t.co/OdV7VyLj8PW —"
sarcastic,"its so hot that i get a greenlight from my house for a new thing ❤️ https://t.co/m3HcJf2vda7
“ thats weird im having panic attacks about"
sarcastic,i love how the sun goes down and i can keep watch for like 3 days at a time!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,#RSFootball @RSFootball @QampsonFootball I wanna sign my dad and Sam play soccer after this.!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Halloween is just another day of watching the world burn.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@dawgsofficial @rob_gerich @NaughtyDog_UK @AlexBendik My love is a virus that infects everything and everyone I see. Now I can't go to school because
sarcastic,@TheEmmaLincolnShow @EmmaLincolnShow if you're black and have beautiful skin you’re probably doing pretty good.!!!!!!!!!!!!!!
sarcastic,why is it that the manliest man's jacket makes him so hot https://t.co/R7HXcRk9ZiM!!!!!!!!!!!!!!
sarcastic,"Nope, I forgot to sign up to the account security department today!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,Tried seltzer but drank too much gin. Felt great but then fell asleep for 2 hours!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Wow it's been over 3 months since I last used the app. What a difference a month makes. Thanks @Beaches3D!!!!!!!!!!!!!!!!!!
sarcastic,bae ripped my bbq sauce off’s and ate it 😏!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Happy New Year everyone! 🤷❤️!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,How does a toddler become aware of things??!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@ryancharlo i love people i’m with because i’ve so badly wanted to be with someone for years!!!!!!!!!!!!!!!!!!
sarcastic,we're living in a dystopian society where everyone is wearing a Hello Kitty hoodie at all times and every street sign has a Hello Kitty-sited restaurant at the top. I’m gonna go fuck myself!!
sarcastic,Nothing says fall asleep in the middle of the night like a jenga tower.!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@Aimee_Love @TheBeautyBros @GMA Not everyone has the luxury of being able to work from home 🤜️. “Sitting there thinking of things to wear makes it even
sarcastic,If you go back to the '80s you'll see someone at a party cry because their grandma couldn't love them. #TheWeddingCast #TheWeddingCast 💚 https://t.co
sarcastic,@elizburrito not in the mood to talk right now’sack house’s house’s house’s house’s house.. wtf!!!!!!!
sarcastic,every time i swipe and tap my way to the shower i feel like it’s too late!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,The best part of a bad week is trying to do things the right way when you don't have to!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Absolutely LOVE reading about how our culture is destroying itself!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"You know, the funny thing about losing my virginity is that I only had to do it once. !!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,Love it when a cat calls out to me while I'm making my coffee and hearing kitty growl at me. I can't seem to get enough of cats! 💭 https://t.co/j2
sarcastic,Well done man I hope you succeed in your dream of playing for the Spanish top flight!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Good morning to my new team @dannykennedy @ASOSUK! 👌🏼 https://t.co/3mBhPVBIsVx #ScottishPower https://t
sarcastic,What happened to #TeamAlexa? It was canceled. Whoops.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
